time,ego_speed,lead_speed,distance,time_headway,acceleration
0.1,10.2,8.0,35.5,3.55,2.0
0.2,10.355103529411764,8.0,35.279999999999994,3.4588235294117644,1.5510352941176466
0.30000000000000004,10.508407454532056,8.0,35.04448964705882,3.3842722622252306,1.533039251202921
0.4,10.656171128100667,8.0,34.79364890160561,3.311029673349774,1.4776367356861029
0.5,10.798856440398842,8.0,34.52803178879554,3.2401911881598826,1.426853122981752
0.6,10.936551508423271,8.0,34.24814614475565,3.1714604535932454,1.3769506802442872
0.7,11.069365723608769,8.0,33.954490993913325,3.104679840602567,1.3281421518549845
0.7999999999999999,11.197397931760925,8.0,33.64755442155244,3.039700309999593,1.2803220815215668
0.8999999999999999,11.320739811671832,8.0,33.327814628376345,2.9763892318092466,1.2334187991090615
0.9999999999999999,11.439476355541785,8.0,32.99574064720916,2.9146275946727545,1.1873654386995447
1.0999999999999999,11.553686492727522,8.0,32.65179301165498,2.854308361399516,1.1421013718573632
1.2,11.663443633192738,8.0,32.296424362382226,2.7953350112720505,1.097571404652164
1.3,11.768816155753317,8.0,31.930079999062947,2.737620294935351,1.053725225605791
1.4000000000000001,11.86986784666954,8.0,31.55319838348761,2.6810851631888633,1.010516909162237
1.5000000000000002,11.966658294561341,8.0,31.166211598820652,2.625657842312482,0.9679044789180096
1.6000000000000003,12.059243246759962,8.0,30.76954576936452,2.571273033119764,0.9258495219862011
1.7000000000000004,12.147674931553489,8.0,30.36362144468852,2.51787121491612,0.884316847935271
1.8000000000000005,12.232002350214387,8.0,29.948853951533167,2.4653980387424803,0.8432741866089759
1.9000000000000006,12.312271542207519,8.0,29.525653716511727,2.4138037968897414,0.8026919199313218
2.0000000000000004,12.388525826555231,8.0,29.094426562290977,2.3630429577964387,0.7625428434771254
2.1000000000000005,12.460806021971857,8.0,28.65557397963545,2.3130737571867703,0.722801954166257
2.2000000000000006,12.529150648065173,8.0,28.209493377438264,2.263857837743169,0.6834462609331555
2.3000000000000007,12.593596109629708,8.0,27.75657831263174,2.2153599307961134,0.644454615645355
2.400000000000001,12.654176865820352,8.0,27.297218701668765,2.1675475745006554,0.6058075619064391
2.500000000000001,12.710925585789251,8.0,26.831801015086725,2.12039086379146,0.5674871996889861
2.600000000000001,12.763873292190242,8.0,26.360708456507798,2.073862228096035,0.5294770640099131
2.700000000000001,12.813049493799253,8.0,25.88432112728877,2.0279362333631488,0.49176201609011505
2.800000000000001,12.858482308363088,8.0,25.403016177908842,1.9825894054496844,0.4543281456383508
2.9000000000000012,12.900198576670153,8.0,24.917167947072528,1.9378000723200852,0.4171626830706546
3.0000000000000013,12.938223968732615,8.0,24.427148089405513,1.8935482228608251,0.38025392062461166
3.1000000000000014,12.972583082878284,8.0,23.93332569253225,1.8498153804085584,0.34359114145668923
3.2000000000000015,13.003299538470548,8.0,23.436067384244417,1.80658448934324,0.3071645559226461
3.3000000000000016,13.030396062904407,8.0,22.93573743039736,1.7638398133136497,0.27096524433859026
3.4000000000000017,13.053894573464964,8.0,22.432697824106917,1.7215668438482434,0.23498510560557745
3.5000000000000018,13.07381625458049,8.0,21.927308366760414,1.6797522182638658,0.19921681115526457
3.600000000000002,13.090181630954467,8.0,21.419926741302362,1.638383645922648,0.16365376373975865
3.700000000000002,13.10301063701912,8.0,20.910908578206914,1.5974498420066767,0.1282900606465277
3.800000000000002,13.112322683116155,8.0,20.400607514504998,1.5569404680836045,0.09312046097034479
3.900000000000002,13.118136718778095,8.0,19.88937524619338,1.5168460788265665,0.05814035661940231
4.000000000000002,13.120471293455392,8.0,19.37756157431557,1.4771580743305837,0.02334574677297792
4.100000000000001,13.119344615009792,8.0,18.86551444497003,1.4378686575367394,-0.01126678445598836
4.200000000000001,13.114774606272999,8.0,18.353579983469047,1.3989707963361817,-0.04570008736792927
4.300000000000001,13.106778959951129,8.0,17.842102522841742,1.3604581899796881,-0.07995646321869435
4.4,13.09537519213955,8.0,17.331424626846626,1.3223252394661007,-0.11403767811579338
4.5,13.080580694699147,8.0,16.82188710763267,1.2845670216253098,-0.14794497440401264
4.6,13.062412786733782,8.0,16.31382903816275,1.247179266649367,-0.18167907965364308
4.699999999999999,13.040888765399353,8.0,15.807587759489373,1.2101583388593873,-0.21524021334428006
4.799999999999999,13.016025956267526,8.0,15.303498882949434,1.173501220526728,-0.24862809131826558
4.899999999999999,12.987841763461516,8.0,14.801896287322677,1.1372054985950002,-0.2818419280601112
4.999999999999998,12.956353719777363,8.0,14.303112110976521,1.1012693541751666,-0.31488043684152567
5.099999999999998,12.921579537001806,8.0,13.80747673899878,1.0656915547097336,-0.34774182775557466
5.1999999999999975,12.883537156636999,8.0,13.315318785298594,1.0304714487241509,-0.38042380364807715
5.299999999999997,12.842244801243075,8.0,12.826965069634895,0.9956089631042853,-0.4129235539392462
5.399999999999997,12.797721026611699,8.0,12.342740589510584,0.9611046028585173,-0.4452377463137591
5.4999999999999964,12.749984774987432,8.0,11.862968486849411,0.9269594533418446,-0.47736251624265896
5.599999999999996,12.699055429558857,8.0,11.387970009350667,0.8931751849375752,-0.509293454285743
5.699999999999996,12.644952870448051,8.0,10.918064466394782,0.859754060209977,-0.5410255911080633
5.799999999999995,12.587697532435161,8.0,10.45356917934997,0.8266989435587803,-0.5725533801289017
5.899999999999995,12.527310464664573,8.0,9.994799426106454,0.794013313423881,-0.6038706777058717
5.999999999999995,12.463813392590518,8.0,9.54206837964,0.7617012771061306,-0.6349707207405507
6.099999999999994,12.397228782433011,8.0,9.095687040380952,0.7297675882878791,-0.6658461015750778
